date,biryani Pune,cafe Pune,misal pav
2023-12-31,24,83,41
2024-01-07,22,78,33
2024-01-14,18,79,36
2024-01-21,23,78,34
2024-01-28,20,75,34
2024-02-04,20,75,24
2024-02-11,18,81,33
2024-02-18,18,70,32
2024-02-25,18,80,33
2024-03-03,18,78,30
2024-03-10,14,74,33
2024-03-17,15,72,32
2024-03-24,13,73,29
2024-03-31,16,72,27
2024-04-07,21,82,36
2024-04-14,14,75,35
2024-04-21,14,82,32
2024-04-28,17,73,34
2024-05-05,17,81,32
2024-05-12,16,85,32
2024-05-19,20,79,32
2024-05-26,20,86,34
2024-06-02,19,77,28
2024-06-09,18,73,32
2024-06-16,20,89,41
2024-06-23,18,81,32
2024-06-30,23,75,32
2024-07-07,14,92,30
2024-07-14,17,88,35
2024-07-21,17,77,36
2024-07-28,20,82,28
2024-08-04,14,78,34
2024-08-11,11,96,45
2024-08-18,13,75,35
2024-08-25,15,78,35
2024-09-01,20,72,34
2024-09-08,10,81,38
2024-09-15,16,84,38
2024-09-22,21,82,30
2024-09-29,16,85,32
2024-10-06,11,67,29
2024-10-13,16,73,33
2024-10-20,17,67,31
2024-10-27,15,58,29
2024-11-03,15,74,34
2024-11-10,16,77,34
2024-11-17,15,99,39
2024-11-24,15,82,30
2024-12-01,16,81,30
2024-12-08,13,84,25
2024-12-15,20,88,34
2024-12-22,19,99,40
2024-12-29,18,100,36
