place_id,restaurant_name,locality,address,lat,lon,rating,review_count,price_range,business_tags,opening_hours,business_status,price_range_missing,business_type,cuisine_type
ChIJi-f_AQfBwjsRmN6MGQU4EO4,Squisito - The Italian Restaurant,Koregaon Park,"Lane Number 5, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.536326,73.8972821,4.3,1864.0,2.0,restaurant,Monday: 11:00 AM – 12:30 AM | Tuesday: 11:00 AM – 12:30 AM | Wednesday: 11:00 AM – 12:30 AM | Thursday: 11:00 AM – 12:30 AM | Friday: 11:00 AM – 12:30 AM | Saturday: 11:00 AM – 12:30 AM | Sunday: 11:00 AM – 12:30 AM,OPERATIONAL,False,Restaurant,Unknown
ChIJ1-N4hQfBwjsRZXv27ie1i2M,Effingut Koregaon Park - Pune's most loved craft brew pub,Koregaon Park,"Plot No. 389, Serene Bay, No. 21/A, Lane No. 6, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5339952,73.8984822,4.3,3341.0,3.0,bar,Monday: 12:00 PM – 1:30 AM | Tuesday: 12:00 PM – 1:30 AM | Wednesday: 12:00 PM – 1:30 AM | Thursday: 12:00 PM – 1:30 AM | Friday: 12:00 PM – 1:30 AM | Saturday: 12:00 PM – 1:30 AM | Sunday: 12:00 PM – 1:30 AM,OPERATIONAL,False,Bar,Unknown
ChIJVVVVVQDBwjsRk4G-5iROTZ4,Uncle's Chinese,Koregaon Park,"Shop No. 3 & 5, Building A1, Meera Society, Lane No. 7, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5374443,73.89981329999999,4.0,2621.0,2.0,restaurant,Monday: 11:30 AM – 11:30 PM | Tuesday: 11:30 AM – 11:30 PM | Wednesday: 11:30 AM – 11:30 PM | Thursday: 11:30 AM – 11:30 PM | Friday: 11:30 AM – 11:30 PM | Saturday: 11:30 AM – 11:30 PM | Sunday: 11:30 AM – 11:30 PM,OPERATIONAL,False,Restaurant,Chinese
ChIJI1Q26_3AwjsRUm79ZVCwNfc,Kitsch,Koregaon Park,"Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",18.539713,73.887745,3.9,39.0,Unknown,restaurant,,CLOSED_TEMPORARILY,True,Restaurant,Unknown
ChIJcWvfLQbBwjsRcN7F7OPv0W8,The Burger House,Koregaon Park,"Ground Floor, Shop No. A/1, Rahul Terrace, Lane No. 7, opposite Meera Nagar, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5368283,73.9002148,3.8,4754.0,1.0,restaurant,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,False,Restaurant,Fast Food
ChIJzbJD9AbBwjsRMwXmv89DBlY,Malaka Spice,Koregaon Park,"Lane, Siddharth Chambers, GVPW+VRH, off North Main Road, Ganga Fortune Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5375106,73.8975166,4.3,9233.0,3.0,restaurant,Monday: 11:30 AM – 12:30 AM | Tuesday: 11:30 AM – 12:30 AM | Wednesday: 11:30 AM – 12:30 AM | Thursday: 11:30 AM – 12:30 AM | Friday: 11:30 AM – 12:30 AM | Saturday: 11:30 AM – 12:30 AM | Sunday: 11:30 AM – 12:30 AM,OPERATIONAL,False,Restaurant,Unknown
ChIJgXZQOv7AwjsR5WAFugmBrq4,Dario's Restaurant Café Bar,Koregaon Park,"Calyx 19 Vidut Nagar Society, Lane Number 5, near Durga Mata Temple, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5337493,73.8972644,4.3,4031.0,3.0,bakery,Monday: 10:00 AM – 11:30 PM | Tuesday: 10:00 AM – 11:30 PM | Wednesday: 10:00 AM – 11:30 PM | Thursday: 10:00 AM – 11:30 PM | Friday: 10:00 AM – 11:30 PM | Saturday: 10:00 AM – 11:30 PM | Sunday: 10:00 AM – 11:30 PM,OPERATIONAL,False,Bakery,Unknown
ChIJwaLkhAfBwjsRhg4GmaI-0rc,Beetroot Bistro,Koregaon Park,"B13/B14 Vidyut Nagar End of, Lane No. 6, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5340112,73.8981895,4.3,2172.0,2.0,cafe,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 12:00 AM,OPERATIONAL,False,Cafe,Unknown
ChIJSSWXdgbBwjsRrSvxQQUDFnk,Subway Koregaon Park,Koregaon Park,"Unit No. 384, no 26 Plot 346, Shahenshah Wing A, S, Lane No. 6, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5370183,73.898698,4.1,564.0,2.0,restaurant,Monday: 11:00 AM – 3:00 AM | Tuesday: 11:00 AM – 3:00 AM | Wednesday: 11:00 AM – 3:00 AM | Thursday: 11:00 AM – 3:00 AM | Friday: 11:00 AM – 3:00 AM | Saturday: 11:00 AM – 3:00 AM | Sunday: 11:00 AM – 3:00 AM,OPERATIONAL,False,Restaurant,Unknown
ChIJHbzYeQbBwjsR2JXy27vRMGE,Arthur's Theme,Koregaon Park,"SHOP NO 2, VRINDAVAN APARTMENTS, Lane No. 6, opp. COSMOS BANK, Ganga Fortune Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18.5385035,73.8985874,4.3,3254.0,3.0,restaurant,Monday: 11:30 AM – 12:30 AM | Tuesday: 11:30 AM – 12:30 AM | Wednesday: 11:30 AM – 12:30 AM | Thursday: 11:30 AM – 12:30 AM | Friday: 11:30 AM – 12:30 AM | Saturday: 11:30 AM – 12:30 AM | Sunday: 11:30 AM – 12:30 AM,OPERATIONAL,False,Restaurant,Unknown
