order_id,restaurant_name,locality,cuisine,date,hour,day_of_week,is_weekend,is_monsoon,festival,primary_dish,n_items,order_value_inr,group_size,price_range
1,Vaishali,FC Road,South Indian,2024-01-01,8,Monday,0,0,none,Masala Dosa,2,141.75,2,2
2,Vaishali,FC Road,South Indian,2024-01-01,8,Monday,0,0,none,Idli Sambar,2,87.73,2,2
3,Vaishali,FC Road,South Indian,2024-01-01,8,Monday,0,0,none,Filter Coffee,3,162.45,4,2
4,Vaishali,FC Road,South Indian,2024-01-01,9,Monday,0,0,none,Masala Dosa,1,83.08,1,2
5,Vaishali,FC Road,South Indian,2024-01-01,9,Monday,0,0,none,Filter Coffee,2,114.36,2,2
6,Vaishali,FC Road,South Indian,2024-01-01,9,Monday,0,0,none,Filter Coffee,1,29.22,4,2
7,Vaishali,FC Road,South Indian,2024-01-01,9,Monday,0,0,none,Idli Sambar,1,60.39,2,2
8,Vaishali,FC Road,South Indian,2024-01-01,9,Monday,0,0,none,Masala Dosa,2,135.7,2,2
9,Vaishali,FC Road,South Indian,2024-01-01,10,Monday,0,0,none,Filter Coffee,2,61.43,4,2
10,Vaishali,FC Road,South Indian,2024-01-01,10,Monday,0,0,none,Masala Dosa,2,112.23,4,2
11,Vaishali,FC Road,South Indian,2024-01-01,10,Monday,0,0,none,Filter Coffee,2,105.6,4,2
12,Vaishali,FC Road,South Indian,2024-01-01,10,Monday,0,0,none,Filter Coffee,2,62.63,2,2
13,Vaishali,FC Road,South Indian,2024-01-01,10,Monday,0,0,none,Idli Sambar,3,154.07,4,2
14,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Masala Dosa,2,139.91,4,2
15,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Idli Sambar,1,61.74,6,2
16,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Masala Dosa,1,82.88,1,2
17,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Masala Dosa,1,82.78,4,2
18,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Masala Dosa,3,190.09,2,2
19,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Filter Coffee,2,90.08,2,2
20,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Masala Dosa,3,199.96,6,2
21,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Idli Sambar,3,227.97,1,2
22,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Masala Dosa,1,81.97,1,2
23,Vaishali,FC Road,South Indian,2024-01-01,12,Monday,0,0,none,Idli Sambar,3,153.7,4,2
24,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Idli Sambar,3,195.51,4,2
25,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Filter Coffee,3,135.92,2,2
26,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Masala Dosa,2,133.08,2,2
27,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Filter Coffee,3,165.39,1,2
28,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Masala Dosa,2,133.01,6,2
29,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Idli Sambar,3,201.65,2,2
30,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Filter Coffee,3,136.76,1,2
31,Vaishali,FC Road,South Indian,2024-01-01,13,Monday,0,0,none,Masala Dosa,1,77.25,6,2
32,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Masala Dosa,2,105.6,2,2
33,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Filter Coffee,3,121.96,2,2
34,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Filter Coffee,1,31.41,1,2
35,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Masala Dosa,2,114.67,2,2
36,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Idli Sambar,2,118.95,2,2
37,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Filter Coffee,1,31.12,4,2
38,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Idli Sambar,1,58.92,2,2
39,Vaishali,FC Road,South Indian,2024-01-01,14,Monday,0,0,none,Idli Sambar,1,60.13,1,2
40,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Idli Sambar,1,57.98,6,2
41,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Masala Dosa,2,145.85,4,2
42,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Masala Dosa,1,81.53,4,2
43,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Masala Dosa,3,176.97,4,2
44,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Filter Coffee,1,29.01,4,2
45,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Idli Sambar,1,61.27,2,2
46,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Masala Dosa,3,193.89,2,2
47,Vaishali,FC Road,South Indian,2024-01-01,17,Monday,0,0,none,Idli Sambar,2,146.67,1,2
48,Vaishali,FC Road,South Indian,2024-01-01,18,Monday,0,0,none,Filter Coffee,1,29.2,2,2
49,Vaishali,FC Road,South Indian,2024-01-01,18,Monday,0,0,none,Filter Coffee,3,183.1,4,2
50,Vaishali,FC Road,South Indian,2024-01-01,18,Monday,0,0,none,Masala Dosa,2,152.06,2,2
51,Vaishali,FC Road,South Indian,2024-01-01,19,Monday,0,0,none,Idli Sambar,2,121.94,2,2
52,Vaishali,FC Road,South Indian,2024-01-01,19,Monday,0,0,none,Idli Sambar,2,93.99,1,2
