place_id,restaurant_name,locality,address_google,restId,zomato_name,address_zomato,match_score,rating_google,rating_zomato,review_count_google,rating_votes_zomato,price_range,business_type,cuisine_type,cost_for_two,lat,lon
ChIJVVVVVQDBwjsRk4G-5iROTZ4,Uncle's Chinese,Koregaon Park,"Shop No. 3 & 5, Building A1, Meera Society, Lane No. 7, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",11135,Uncle's Chinese,"Shop 3, Ground Floor, Building A/10, Lane 7, Meera Garden Society, Koregaon Park, Pune",88.0,4.0,4.3,2621.0,2321,2.0,Restaurant,Chinese,₹800 for two people (approx.),18.5374443,73.89981329999999
ChIJcWvfLQbBwjsRcN7F7OPv0W8,The Burger House,Koregaon Park,"Ground Floor, Shop No. A/1, Rahul Terrace, Lane No. 7, opposite Meera Nagar, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",11520,The Burger House,"A/1, Ground Floor, Lane 7, Rahul Terrace, Meera Nagar, Koregaon Park, Pune",89.2,3.8,3.8,4754.0,1732,1.0,Restaurant,Fast Food,₹400 for two people (approx.),18.5368283,73.9002148
ChIJHbzYeQbBwjsR2JXy27vRMGE,Arthur's Theme,Koregaon Park,"SHOP NO 2, VRINDAVAN APARTMENTS, Lane No. 6, opp. COSMOS BANK, Ganga Fortune Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",10143,Arthur's Theme,"Shop 2, Lane 6, Vrindavan Apartment, Off North Main Road, Koregaon Park, Pune",88.25,4.3,4.6,3254.0,2712,3.0,Restaurant,Unknown,"₹1,500 for two people (approx.) Without alcohol",18.5385035,73.8985874
ChIJf25TjgfBwjsRltOx6_TA7mc,The Sassy Spoon,Koregaon Park,"Sanskriti Lifestyle, Lane No. 7, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",18417624,The Sassy Spoon,"Lane 7, Sanskriti Lifestyle Complex, Koregaon Park, Pune",88.12,4.4,4.6,7850.0,2099,3.0,Takeaway,Unknown,"₹1,600 for two people (approx.) Without alcohol",18.533963,73.89873589999999
ChIJf76mvwXBwjsRzr6PUIw4f_8,Rajput Restaurant,Koregaon Park,"N Main Rd, Opposite Axis Bank, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",11140,Rajput Restaurant,"North Main Road, Opposite Axis Bank, Garden Society, Koregaon Park, Pune",90.87,4.0,3.9,1339.0,659,2.0,Restaurant,Unknown,₹800 for two people (approx.),18.539119,73.89914809999999
ChIJAw_t2v3AwjsRkqw87Aq03hI,Savya Rasa,Koregaon Park,"Gera Serenity Building, CTS No. 15, near Starbucks Cafe, Koregaon Park, Pune, Maharashtra 411001, India",6507631,Savya Rasa,"Flat 2, Survey 479 & 480, Gera Serenity, North Main Road, Koregaon Park, Pune",88.52,4.5,4.9,3751.0,1309,3.0,Restaurant,Unknown,"₹2,100 for two people (approx.) Without alcohol",18.5388527,73.8866766
ChIJTS8ySALBwjsRuLhO1u8fF60,Buddha Paradise,Koregaon Park,"C Ln, Near Kasturba Gandhi School, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",11256,Buddha Paradise,"Lane C, Near Kasturba Gandhi School, North Road, Koregaon Park, Pune",91.74,3.8,2.9,1844.0,206,2.0,Cafe,Unknown,₹300 for two people (approx.),18.5402357,73.8912441
ChIJ07Ck_82-wjsRajUxR95A1gI,New Poona Bakery,Baner,"Shop No-6, Baner - Balewadi Rd, near Signet Corner, Balewadi Phata, Baner, Pune, Maharashtra 411069, India",6507022,New Poona Bakery,"Shop 6, Balewadi Phata, Signes Corner, Baner, Pune",88.62,3.8,4.0,171.0,422,2.0,Restaurant,Bakery,₹50 for one order (approx.),18.563892,73.7829758
ChIJA-rKFce_wjsRvDzWOPEp8Cs,EATSOME,Baner,"Baner Rd, opp. SAVTA MALI TEMPLE, next to Aditi Samruddhi, Baner Gaon, Baner, Pune, Maharashtra 411069, India",12806,Eatsome,"Opposite Savta Mali Temple, Near Aditi Samruddhi, Baner Main Road, Baner, Pune",92.2,3.7,2.8,363.0,362,2.0,Restaurant,Unknown,₹400 for two people (approx.),18.5609865,73.7882235
ChIJBeQNs9G-wjsRK-XxaadQdjE,MOJO Pizza - 2X Toppings,Baner,"Shop No. 14 15 16, S.No. 74, Shroff Suyash Mall, 75 2/1, near Union Bank, Baner, Pune, Maharashtra 411045, India",18422340,MOJO Pizza - 2X Toppings,"Shop 14/15/16 74+75+2/1, Shroff Suyash Mall, Near Union Bank, Baner, Pune",91.88,3.8,4.0,154.0,9398,Unknown,Restaurant,Italian,₹250 for one order (approx.),18.5644256,73.77669399999999
