order_id,restaurant_name,locality,cuisine,date,hour,day_of_week,is_weekend,is_monsoon,festival,primary_dish,n_items,order_value_inr,group_size,price_range
1,Vaishali,FC Road,South Indian,2024-01-04,8,Thursday,0,0,none,Masala Dosa,2,141.75,2,2
2,Vaishali,FC Road,South Indian,2024-01-04,9,Thursday,0,0,none,Idli Sambar,2,87.73,2,2
3,Vaishali,FC Road,South Indian,2024-01-04,9,Thursday,0,0,none,Filter Coffee,3,162.45,4,2
4,Vaishali,FC Road,South Indian,2024-01-04,9,Thursday,0,0,none,Masala Dosa,1,83.08,1,2
5,Vaishali,FC Road,South Indian,2024-01-04,9,Thursday,0,0,none,Filter Coffee,2,114.36,2,2
6,Vaishali,FC Road,South Indian,2024-01-04,9,Thursday,0,0,none,Filter Coffee,1,29.22,4,2
7,Vaishali,FC Road,South Indian,2024-01-04,9,Thursday,0,0,none,Idli Sambar,1,60.39,2,2
8,Vaishali,FC Road,South Indian,2024-01-04,10,Thursday,0,0,none,Masala Dosa,2,135.7,2,2
9,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Filter Coffee,2,61.43,4,2
10,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Masala Dosa,2,112.23,4,2
11,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Filter Coffee,2,105.6,4,2
12,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Filter Coffee,2,62.63,2,2
13,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Idli Sambar,3,154.07,4,2
14,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Masala Dosa,2,139.91,4,2
15,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Idli Sambar,1,61.74,6,2
16,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Masala Dosa,1,82.88,1,2
17,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Masala Dosa,1,82.78,4,2
18,Vaishali,FC Road,South Indian,2024-01-04,12,Thursday,0,0,none,Masala Dosa,3,190.09,2,2
19,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Filter Coffee,2,90.08,2,2
